movieId,release,movie,score,boxOffice,nbCharacter,sort,phase
captainamericacivilwar,05/01/2016,Captain America: Civil War,90,1153296293,24,1,0
doctorstrange,11/11/2016,Doctor Strange,89,677718395,14,2,0
guardiansofthegalaxyvol2,05/05/2017,Guardians of the Galaxy 2,85,863756051,27,3,0
spidermanhomecoming,07/07/2017,Spider-Man: Homecoming,92,880166924,37,4,0
thorragnarok,11/11/2017,Thor: Ragnarok,93,853977126,16,5,0
blackpanther,02/02/2018,Black Panther,96,1347280161,19,6,0
avengersinfinitywar,04/04/2018,Avengers: Infinity War,85,2048359754,45,7,0
antmanandthewasp,07/07/2018,Ant-Man and the Wasp,87,622674139,16,8,0
captainmarvel,03/03/2019,Captain Marvel,79,1128275263,19,9,0
avengersendgame,04/04/2019,Avengers: Endgame,94,2797800564,66,10,0
avengersendgame2,04/04/2019,Avengers: Endgame,94,2797800564,66,11,0
spidermanfarfromhome,07/07/2019,Spider-Man: Far From Home,90,1131927996,20,12,0
phasetwo,,Previous Phases,0,0,66,0,1
